Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_5_3,Q_5_4,Q_5_5,Q_5_6,Q_5_7,Q_5_8,Q_5_9,Q_5_10,Q_6_2113,Q_6_45113,Q_6_73113,Q_6_74113,Q_6_76113,Q_6_75113,Q_6_46113,Q_6_33113,Q_6_47113,Q_6_1113,Q_6_48113,Q_6_10113,Q_6_51113,Q_6_50113,Q_6_49113,Q_6_34113,Q_6_77113,Q_6_78113,Q_6_52113,Q_6_56113,Q_6_54113,Q_6_55113,Q_6_53113,Q_6_79113,Q_6_69113,Q_6_9113,Q_6_7113,Q_6_6113,Q_6_4113,Q_6_5113,Q_6_8113,Q_6_11113,Q_6_80113,Q_6_57113,Q_6_12113,Q_6_70113,Q_6_71113,Q_6_63113,Q_6_58113,Q_6_60113,Q_6_61113,Q_6_59113,Q_6_28113,Q_6_81113,Q_6_66113,Q_6_64113,Q_6_65113,Q_6_39113,Q_6_38113,Q_6_40113,Q_6_37113,Q_6_41113,Q_6_13113,Q_6_82113,Q_6_83113,Q_6_84113,Q_6_85113,Q_6_27113,Q_6_87113,Q_6_68113,Q_6_72113,Q_6_88113,Q_6_89113,Q_6_90113,Q_6_42113,Q_6_44113,Q_6_43113,Q_6_25113,Q_6_17113,Q_6_18113,Q_6_23113,Q_6_21113,Q_6_24113,Q_6_20113,Q_6_35113,Q_6_16113,Q_6_14113,Q_6_15113,Q_6_91113,Q_6_92113,Q_6_93113,Q_6_26113,Q_6_36113,Q_6_31113,Q_6_29113,Q_6_30113,Q_6_32113,Q_6_3113,Q_6_999113,Q_7_297111,Q_7_340111,Q_7_368111,Q_7_369111,Q_7_371111,Q_7_370111,Q_7_341111,Q_7_328111,Q_7_342111,Q_7_296111,Q_7_343111,Q_7_305111,Q_7_346111,Q_7_345111,Q_7_344111,Q_7_329111,Q_7_372111,Q_7_373111,Q_7_347111,Q_7_351111,Q_7_349111,Q_7_350111,Q_7_348111,Q_7_374111,Q_7_364111,Q_7_304111,Q_7_302111,Q_7_301111,Q_7_299111,Q_7_300111,Q_7_303111,Q_7_306111,Q_7_375111,Q_7_352111,Q_7_307111,Q_7_365111,Q_7_366111,Q_7_358111,Q_7_353111,Q_7_355111,Q_7_356111,Q_7_354111,Q_7_323111,Q_7_376111,Q_7_361111,Q_7_359111,Q_7_360111,Q_7_334111,Q_7_333111,Q_7_335111,Q_7_332111,Q_7_336111,Q_7_308111,Q_7_377111,Q_7_378111,Q_7_379111,Q_7_380111,Q_7_322111,Q_7_382111,Q_7_363111,Q_7_367111,Q_7_383111,Q_7_384111,Q_7_385111,Q_7_337111,Q_7_339111,Q_7_338111,Q_7_320111,Q_7_312111,Q_7_313111,Q_7_318111,Q_7_316111,Q_7_319111,Q_7_315111,Q_7_330111,Q_7_311111,Q_7_309111,Q_7_310111,Q_7_386111,Q_7_387111,Q_7_388111,Q_7_321111,Q_7_331111,Q_7_326111,Q_7_324111,Q_7_325111,Q_7_327111,Q_7_298111,Q_7_999111,Q_8_1112,Q_10_1123,Q_11_1,Q_11_2,Q_11_3,Q_12_1115,Q_13_1114,Q_13_2114,Q_13_3114,Q_13_4114,Q_13_5114,Q_13_6114,Q_13_7114,Q_13_8114,Q_13_9114,Q_13_10114,Q_13_11114,Q_13_12114,Q_13_13114,Q_13_14114,Q_13_15114,Q_13_16114,Q_13_17114,Q_13_18114,Q_13_19114,Q_13_20114,Q_13_21114,Q_13_22114,Q_13_999114,Q_13_9999,Q_14_1117,Q_15_1135,Q_15_2136,Q_15_3137,Q_15_4138,Q_15_5139,Q_15_6140,Q_15_7141,Q_15_8142,Q_15_9143,Q_15_1144,Q_15_11145,Q_17_1127,Q_17_2127,Q_17_3127,Q_17_4127,Q_17_5127,Q_17_6127,Q_17_7127,Q_17_8127,Q_17_9127,Q_17_10127,Q_17_11127,Q_17_12127,Q_17_13127,Q_17_14127,Q_17_999127,Q_16_1128,Q_16_2128,Q_16_3128,Q_16_4128,Q_16_5128,Q_16_6128,Q_16_7128,Q_16_999128,Q_18_1129,Q_18_2129,Q_18_3129,Q_18_4129,Q_18_5129,Q_18_6129,Q_18_7129,Q_18_8129,Q_18_9129,Q_18_10129,Q_18_11129,Q_18_12129,Q_18_13129,Q_18_14129,Q_18_15129,Q_18_999129,Q_73_1130,Q_73_2131,Q_73_3132,Q_73_4133,Q_73_5134,Q_74_1121,Q_74_2120,Q_74_3122,Q_74_4116,Q_74_5119,Q_74_6118,Q_22_1299,Q_22_2299,Q_22_3299,Q_22_4299,Q_22_5299,Q_22_6299,Q_22_7299,Q_22_8299,Q_22_9299,Q_22_10299,Q_22_11299,Q_22_12299,Q_22_13299,Q_22_14299,Q_22_15299,Q_22_16299,Q_22_17299,Q_22_18299,Q_22_19299,Q_22_999299,Q_75_1146,Q_75_3147,Q_75_4148,Q_75_5149,Q_75_6150,Q_75_7151,Q_75_8152,Q_75_1153,Q_25_1124,Q_26_1125,Q_27_1126,Q_33_1157,Q_33_2157,Q_33_3157,Q_33_4157,Q_33_5157,Q_33_6157,Q_33_7157,Q_33_8157,Q_33_9157,Q_33_10157,Q_33_11157,Q_33_12157,Q_33_999157,Q_34_1155,Q_34_2155,Q_34_3155,Q_34_4155,Q_34_5155,Q_34_6155,Q_34_7155,Q_34_8155,Q_34_9155,Q_34_10155,Q_34_11155,Q_34_12155,Q_34_999155,Q_35_1156,Q_37_1154,Q_38_1,Q_38_2,Q_38_3,Q_40_1162,Q_40_2162,Q_40_3162,Q_40_4162,Q_40_5162,Q_40_6162,Q_40_7162,Q_40_8162,Q_40_9162,Q_40_10162,Q_40_11162,Q_40_12162,Q_40_13162,Q_40_14162,Q_40_15162,Q_40_16162,Q_40_999162,Q_41_1160,Q_42_1182,Q_42_2192,Q_42_3188,Q_42_4185,Q_42_5186,Q_42_6187,Q_42_7183,Q_42_8184,Q_42_9191,Q_42_1189,Q_42_11190,Q_44_1194,Q_44_2194,Q_44_3194,Q_44_4194,Q_44_5194,Q_44_6194,Q_44_7194,Q_44_8194,Q_44_9194,Q_44_10194,Q_44_11194,Q_44_12194,Q_44_13194,Q_44_14194,Q_44_999194,Q_43_1193,Q_43_2193,Q_43_3193,Q_43_4193,Q_43_5193,Q_43_6193,Q_43_7193,Q_43_999193,Q_45_1195,Q_45_2195,Q_45_3195,Q_45_4195,Q_45_5195,Q_45_6195,Q_45_7195,Q_45_8195,Q_45_9195,Q_45_10195,Q_45_11195,Q_45_12195,Q_45_13195,Q_45_14195,Q_45_15195,Q_45_999195,Q_76_1179,Q_76_2181,Q_76_3177,Q_76_4180,Q_76_5178,Q_77_1168,Q_77_2167,Q_77_3166,Q_77_4161,Q_77_5165,Q_77_6164,Q_49_1159,Q_49_2159,Q_49_4159,Q_49_5159,Q_49_6159,Q_49_7159,Q_49_8159,Q_49_9159,Q_49_10159,Q_49_13159,Q_49_14159,Q_49_15159,Q_49_16159,Q_49_17159,Q_49_18159,Q_49_19159,Q_49_20159,Q_49_21159,Q_49_999159,Q_78_1171,Q_78_3169,Q_78_4172,Q_78_5173,Q_78_6175,Q_78_717,Q_78_8176,Q_78_1174,Q_52_1158,Q_54_1163,Q_69_1101,Q_68_1,Q_70_1109,Q_71_102,Q_28_1196,Q_29_1197,Q_29_2197,Q_29_3197,Q_29_4197,Q_29_5197,Q_29_6197,Q_29_7197,Q_29_8197,Q_29_9197,Q_29_999197,Q_30_1198,Q_30_2198,Q_30_3198,Q_30_4198,Q_30_5198,Q_30_6198,Q_30_7198,Q_30_8198,Q_30_9198,Q_30_10198,Q_30_11198,Q_30_999198,Q_79_1199,Q_79_2200,Q_79_3201,Q_79_4202,Q_79_5203,Q_79_6204,Q11_1_discrete107,Q11_1_GUIDE,Q11_1_GROUP,Q38_1_discrete,Q38_1_GUIDE,Q38_1_GROUP,Q_11_2_discrete105,Q_11_3_discrete106,Q38_2_discrete,Q38_3_discrete,Q_69_1_regions110,Q_eur103,Q68_bundled104,Q_11_1_3108,Q_38_1_3,Q_71bundled,best,Q_8_1_bundled,Q_8_1_bundledibmdsxspss,Q_3_1,Q_4_1
Europe,Romania,Did not respond,Did not respond,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,,, , ,Europe,Eastern Europe,,, , , , , ,English,"VENDOR: We are a vendor/reseller that develops and/or sells an advanced analytics, data discovery or data preparation product"
Asia and Pacific,New Zealand,Did not respond,Financial Services,IT,Did not respond,not quoted,not quoted,not quoted,not quoted,quoted,not quoted,not quoted,not quoted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,SQL,,,,,,,Java,,Python,R,,,SQL,,,,Python,,400,4,2,,Availability of predefined analytical logic,,,Large data handling capacity,,Ease of use for business analysts,Convincing performance of software,Predefined data connection ,Openness and support of different programming languages,Code-free environment,,,,,,,1 to less than 3 months,In use,In use,In use,In use,In use,Planned,Planned,Planned,Planned,Planned,Planned,Relational data sources/databases,,Log data,Sensor data and machine-generated data,,,,,,,,,,,,Transforming semi-structured data formats,,Date functions,Aggregations, Join/merge of different data sources,,,,,,,,,Customer segmentation,,,Risk management,,,,,,General data preparation,,Satisfactory,Excellent,Good,Good,Excellent,Good,Good,Good,Moderate,Good,Good,,,Lack of administration features for the analytical infrastructure,,Lack of interest from business users,,,Poor data governance,,Product cannot handle our data volumes,,,,,,,,,,High,Low,Low,Moderate,Low,Moderate,Moderate,High,Excellent,Definitely,New Zealand,Banking and finance,Data Engineer,IT,"No, but use is planned",,,,,,,,,,,Costs,Flexibility and elasticity,Speed of implementation,Reduction of maintenance efforts,,,Scalability and better coverage of load peaks,,,Faster software updates,,,Not very important,Not very important,Important,Important,Very important,Not very important,, , ,251 - 500,"100 - 2,500",150 - 500,,,Less than 25,Less than 25,Asia and Pacific,,Financial Services,,1 to less than 5%,IT, , , ,English,"USER: Yes, I work for a user organization that is using, or has considered using, an advanced analytics, data discovery or data preparation product"
Europe,Germany,Did not respond,Did not respond,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,,, , ,Europe,DACH,,, , , , , ,English,"VENDOR: We are a vendor/reseller that develops and/or sells an advanced analytics, data discovery or data preparation product"
Rest of the world,South Africa,Did not respond,Services,IT,Did not respond,not quoted,not quoted,not quoted,not quoted,not quoted,not quoted,quoted,not quoted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Africa,Services (except consulting),Data Engineer,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,,, , ,Rest of the world,,Services,, ,IT, , , ,English,"NON USER: No, we have not actually used or considered using an advanced analytics, data discovery or data preparation product"
Europe,Poland,Did not respond,Financial Services,IT,Did not respond,not quoted,not quoted,not quoted,not quoted,quoted,quoted,not quoted,not quoted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,Scala,,SQL,,,,,,,,,Python,R,,,SQL,,,,SQL,Before 2009,8000,1000,150,,,,,Large data handling capacity,Ease of use for data scientists,Ease of use for business analysts,,,,,,,Availability of people skilled in the toolset ,Large community and knowledge on the market,,,2 to less than 3 years,Wanted/required but not possible,Not required,Not required,In use,In use,In use,Planned,Wanted/required but not possible,In use,In use,Wanted/required but not possible,Relational data sources/databases,,,,,,Transactional data,,,,,,,Hadoop data sources,,,,Date functions,Aggregations, Join/merge of different data sources,Trim/cutting of data,Pivot and unpivot data,,Fraud detection,,,,,Customer segmentation,Next best action,,,,Up and cross selling,Compliance,,,General data preparation,,Satisfactory,Poor,Satisfactory,Good,Satisfactory,Moderate,Good,Moderate,Moderate,Good,Good,Organizational problems,,Lack of administration features for the analytical infrastructure,,,,,Poor data governance,Poor data quality,,,,,,,,,,,High,Moderate,High,High,High,Moderate,High,Low,Excellent,Definitely,Poland,Banking and finance,External consultant,IT,"Not planned, but it is conceivable",,,,,,,,,,,,Flexibility and elasticity,,Reduction of maintenance efforts,,,Scalability and better coverage of load peaks,,Agility,,,,Important,Important,Important,Very important,Very important,Not very important,, , ,"2,501 – 10,000","More than 2,500","More than 6,000",,,More than 300,76 - 300,Europe,Eastern Europe,Financial Services,,1 to less than 5%,IT, , , ,English,"USER: Yes, I work for a user organization that is using, or has considered using, an advanced analytics, data discovery or data preparation product"
Asia and Pacific,Japan,Did not respond,Did not respond,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,,, , ,Asia and Pacific,,,, , , , , ,English,"VENDOR: We are a vendor/reseller that develops and/or sells an advanced analytics, data discovery or data preparation product"
Europe,United Kingdom,Did not respond,Manufacturing,IT,Did not respond,not quoted,not quoted,not quoted,not quoted,not quoted,quoted,not quoted,not quoted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,SQL,,,,SQL,Before 2009,100000,100,75,Good coverage of specific requirements,,,,Large data handling capacity,,,,,,,Deployment option,,Availability of people skilled in the toolset ,,,,1 to less than 2 years,Not required,In use,In use,In use,In use,Not required,Not required,Not required,In use,In use,Not required,Relational data sources/databases,Multidimensional data sources/databases,,,,,Transactional data,,,,,,NoSQL data sources,,,,,,Aggregations, Join/merge of different data sources,,Pivot and unpivot data,,,,,,,,,,,,,,,,General data preparation,,Good,Satisfactory,Satisfactory,Satisfactory,Good,Good,Good,Moderate,Moderate,Moderate,Moderate,,Company politics,,,,,,,Poor data quality,,,Software difficult to use,Limited code-free usage,,,,,,,Moderate,Moderate,Moderate,Moderate,Low,Low,Not achieved,Not achieved,Good,Probably,United Kingdom,"Manufacturing (e.g. automotive, mechanical engineering etc.)",Responsible for departmental BI/Analytics,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,"10,001 -  100,000","More than 2,500","More than 6,000",,,76 - 300,25 - 75,Europe,United Kingdom & Ireland,Manufacturing,,1 to less than 5%,IT, , , ,English,"USER: Yes, I work for a user organization that is using, or has considered using, an advanced analytics, data discovery or data preparation product"
Asia and Pacific,India,Did not respond,Public sector and Education,IT,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,Education,Other,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,,, , ,Asia and Pacific,,Public sector and Education,, ,IT, , , ,English,"NON USER: No, we have not actually used or considered using an advanced analytics, data discovery or data preparation product"
Asia and Pacific,India,Did not respond,Services,Did not respond,Did not respond,not quoted,not quoted,not quoted,not quoted,quoted,not quoted,not quoted,not quoted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,Tensorflow,,,,,,,,Python,,,,,Tensorflow,,Other,Python,This year/2018,320,12,12,,Availability of predefined analytical logic,,,,Ease of use for data scientists,,,Predefined data connection ,Openness and support of different programming languages,,,,Availability of people skilled in the toolset ,Large community and knowledge on the market,,,3 to less than 6 months,In use,In use,In use,In use,In use,In use,In use,In use,In use,In use,In use,Relational data sources/databases,Multidimensional data sources/databases,,,,,Transactional data,Social media data,,,,,,,,,Creation of data bins,,Aggregations, Join/merge of different data sources,Trim/cutting of data,,,,Churn prevention,,,Demand forecasting,,,,Risk management,,,,,,,,Good,Good,Good,Good,Good,Moderate,Good,Good,Moderate,Good,Good,,,,,,,,,,,,,,,,,,No significant problems,,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Good,Probably,India,Consulting,Responsible for departmental BI/Analytics,"Other, please specify","Not planned, but it is conceivable",,,,,,,,,,,,,Speed of implementation,Reduction of maintenance efforts,Performance of the solution,Security benefits,Scalability and better coverage of load peaks,,,Faster software updates,Worldwide availability,,Very important,Important,Very important,Very important,Important,Very important,, , ,251 - 500,"100 - 2,500",150 - 500,,,Less than 25,Less than 25,Asia and Pacific,,Services,,1 to less than 5%, , , , ,English,"CONSULTANT: I am an independent (non-vendor) consultant describing one of my customers' advanced analytics, data discovery or data preparation applications/implementations"
Europe,Italy,Did not respond,Did not respond,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,,, , ,Europe,Southern Europe,,, , , , , ,English,"VENDOR: We are a vendor/reseller that develops and/or sells an advanced analytics, data discovery or data preparation product"
Europe,Italy,Did not respond,Services,Business,Did not respond,not quoted,not quoted,not quoted,not quoted,quoted,not quoted,not quoted,not quoted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNIME,Python,R,Scala, Spark Mlib,,,,,,,,,,Python,R,Scala,Spark Mlib,,,,,R,,700,10,10,,,,,,Ease of use for data scientists,,,,,,,,,Large community and knowledge on the market,,,,In use,Wanted/required but not possible,Wanted/required but not possible,Wanted/required but not possible,Not required,Wanted/required but not possible,Planned,In use,In use,Planned,Planned,Relational data sources/databases,,,Sensor data and machine-generated data,,,,,,,,,,,,,Creation of data bins,Date functions,Aggregations,,,,,Fraud detection,Churn prevention,,,Demand forecasting,,,Predictive maintenance,Risk management,,,,,,,,Very poor,Poor,Very poor,Good,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,,,Lack of administration features for the analytical infrastructure,,,,,Poor data governance,,,,Software difficult to use,,,,,,,,Moderate,High,Low,Moderate,Low,High,,,Excellent,Definitely,Italy,Consulting,Member of cross-departm. BI/analytics team,R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,"501 - 1,000","100 - 2,500","500 - 1,500",,,Less than 25,Less than 25,Europe,Southern Europe,Services,,1 to less than 5%,Business, , , ,English,"CONSULTANT: I am an independent (non-vendor) consultant describing one of my customers' advanced analytics, data discovery or data preparation applications/implementations"
North America,United States of America,Did not respond,Utilities,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-66,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,"Oil, gas and mining",Member of cross-departm. BI/analytics team,Finance and Controlling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , ,,, , ,North America,,Utilities,, ,Business, , , ,English,"NON USER: No, we have not actually used or considered using an advanced analytics, data discovery or data preparation product"
